Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
1,Acer',1,Acer_rubrum',Red_maple',150,151,41,0.72,2.395,0.49,0.15,0.316,988,4206,7424,2,2,1,1,1,3,3,0,1,10,1,0.31,0.78,ACERrubr
1,Acer',2,Acer_saccharum',Sugar_maple',300,219,58,0.71,1.676,0.56,0.15,0.316,828,2451,4074,2,5,3,2,3,4,3,0,1,10,1,0.31,0.78,ACERsacc
2,Aesculus',1,Aesculus_octandra',Yellow_buckeye',100,216,63,0.70,2.424,0.33,0.15,0.316,3052,3563,4074,2,5,4,3,2,4,3,0,0.01,1,1,0.31,0.78,AESCocta
3,Carya',1,Carya_cordiformis',Bitternut_hickory',200,122,52,1.16,2.222,0.6,0.15,0.316,2030,3634,5238,3,3,5,2,2,3,1,0,0.01,1,1,0.31,0.78,CARYcord
3,Carya',2,Carya_glabra',Pignut_hickory',300,148,38,0.73,1.108,0.66,0.15,0.316,2030,4521,7011,3,4,6,2,3,3,2,0,0.01,1,1,0.31,0.78,CARYglab
3,Carya',3,Carya_ovata',Shagbark_hickory',300,112,40,0.90,1.161,0.64,0.15,0.316,2030,4047,6064,3,4,6,2,3,4,2,0,0.01,1,1,0.31,0.78,CARYovat
3,Carya',4,Carya_tomentosa',Mockernut_hickory',300,130,33,0.69,0.981,0.64,0.15,0.316,2263,4637,7011,4,4,6,2,3,3,2,0,0.01,1,1,0.31,0.78,CARYtome
4,Cercis',1,Cercis_canadensis',Eastern_redbud',100,31,11,0.94,0.874,0.65,0.15,0.316,2030,3634,5238,1,2,6,2,3,3,3,0,0.01,1,1,0.1,0.31,CERCcana
5,Comus',1,Cornus_florida',Flowering_dogwood',100,38,9,0.61,0.887,0.64,0.15,0.316,2030,4047,6064,1,5,6,2,4,4,3,0,0.01,1,1,0.1,0.31,CORNflor
6,Diospyros',1,Diospyros_virginiana',Common_persimmon',150,213,40,0.50,2.317,0.67,0.15,0.316,3052,5238,7424,1,4,2,2,3,3,3,0,0.01,1,0,0.31,0.78,DIOSvirg
7,Fagus',1,Fagus_grandifolia',American_beech',400,153,37,0.63,0.804,0.56,0.15,0.316,1147,3399,5651,1,4,1,2,5,4,1,0,0.01,10,1,0.31,0.31,FAGUgran
8,Fraxinus',1,Fraxinus_americana',White_ash',300,215,38,0.58,1.126,0.55,0.15,0.316,1323,3694,6064,4,3,4,3,3,4,3,0,1,10,1,0.31,0.78,FRAXamer
9,Juglans',1,Juglans_nigra',Black_walnut',250,246,46,0.52,1.604,0.51,0.15,0.316,2030,3367,4704,5,4,4,3,3,5,1,0,0.01,1,1,0.31,0.31,JUGLnigr
10,Juniperus',1,Juniperus_virginiana',Red_cedar',250,122,37,0.80,1.067,0.44,0.15,0.5,1630,3641,5651,5,2,4,1,4,3,3,1,0.01,1,0,0.56,0.78,JUNIvirg
11,Liquidambar',1,Liquidambar_styraciflua',Sweet_gum',300,145,41,0.75,1.194,0.46,0.15,0.316,3052,4558,6064,5,3,2,1,4,3,3,0,0.1,1,1,0.1,0.31,LIQUstya
